State,district,State and District,date,confirmed,active,recovered,deceased,New Confirmed,New active,New recovered,New deceased,State_Code
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/15/2020,165,88,77,0,14,14,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/16/2020,173,96,77,0,8,8,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/21/2020,26,18,8,0,26,18,8,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/22/2020,26,18,8,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/23/2020,32,24,8,0,6,6,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/24/2020,34,26,8,0,2,2,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/25/2020,37,25,12,0,3,-1,4,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/26/2020,39,27,12,0,2,2,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/27/2020,39,27,12,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/28/2020,39,27,12,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/29/2020,40,28,12,0,1,1,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",4/30/2020,42,28,14,0,2,0,2,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/1/2020,42,25,17,0,0,-3,3,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/2/2020,45,28,17,0,3,3,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/3/2020,45,25,20,0,0,-3,3,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/4/2020,45,23,22,0,0,-2,2,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/5/2020,45,23,22,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/6/2020,46,20,26,0,1,-3,4,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/7/2020,46,20,26,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/8/2020,46,20,26,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/9/2020,46,17,29,0,0,-3,3,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/10/2020,46,15,31,0,0,-2,2,0,AP
